name,community
298.74_134.19,3
298.78_113.47,3
299.26_104.66,3
299.39_516.06,1
299.42_119.72,3
299.42_523.86,1
299.54_117.21,5
299.63_116.19,5
299.64_93.03,3
299.68_98.26,3
299.7_519.97,1
299.93_507.9,1
300_129.73,3
300.01_529.02,1
300.06_142.65,3
300.06_511.55,1
300.12_115.37,3
300.34_84.19,3
300.4_136.31,3
300.49_140.86,3
300.63_111.39,3
300.66_514.66,1
300.84_526.92,1
300.96_87.24,3
301.08_139.06,3
301.11_133.46,3
301.12_91.26,3
301.25_116.84,3
301.45_530.93,1
301.53_82.82,3
301.58_131.43,3
301.69_518.48,1
301.7_106.29,3
301.76_522.62,1
301.96_123.53,3
302.17_83.58,5
302.24_509.61,1
302.34_115.81,2
302.38_126.61,3
302.44_132.68,3
302.48_514.04,1
302.5_121.14,3
302.53_119.95,3
302.54_526.27,1
302.73_81.12,5
302.83_140.95,3
302.84_99.97,3
302.85_528.45,1
302.94_524.21,1
303.03_134.21,3
303.12_114.34,3
303.16_533.7,1
303.29_110.5,3
303.32_523.9,1
303.32_94.24,3
303.37_129.4,3
303.57_139.16,3
303.62_525.69,1
303.72_116.83,3
303.78_524.7,1
303.84_91.8,3
303.85_531.24,1
303.97_518.86,1
304.02_101.06,3
304.15_537.31,1
304.23_528.94,1
304.25_509.72,1
304.26_122.06,3
304.33_525.47,1
304.41_535.49,1
304.46_132.22,3
304.55_126.17,3
304.66_105.82,3
304.66_96.82,3
304.77_506.89,1
304.79_123.59,3
304.89_522.68,1
304.93_137.29,3
305.02_104.78,3
305.21_93.31,3
305.26_528.05,1
305.34_531.15,1
305.38_115.24,3
305.4_85.91,3
305.49_505.34,1
305.54_83.71,5
305.56_524.81,1
305.66_88.21,3
305.67_516.84,1
305.84_103.45,3
306.06_537.67,1
306.22_118.93,3
306.56_122.39,3
306.56_498.5,1
306.63_532.31,1
306.7_522.28,1
306.73_539.41,1
306.85_528.48,1
306.93_108.16,3
306.94_98.71,3
306.97_536.23,1
306.98_137.61,3
307.16_91.22,3
307.17_523.66,1
307.21_533.32,1
307.3_89.28,3
307.32_122.01,2
307.34_124.69,3
307.44_141.54,3
307.51_116.39,3
307.63_503.77,1
307.65_538.54,1
307.71_512.4,1
307.82_525.84,1
307.84_122.67,3
307.96_128.51,3
308.02_132.25,3
308.09_120.34,3
308.2_88.82,3
308.29_111.36,3
308.3_519.49,1
308.46_136.56,3
308.49_107.82,5
308.51_140.19,3
308.62_101.87,3
308.65_524.79,1
308.69_545.24,1
308.87_90.23,3
309_105.21,3
309_534.17,1
309.03_86.15,3
309.05_109.87,3
309.12_134.18,3
309.15_543.43,1
309.27_507.12,1
309.3_530.16,1
309.51_120.22,3
309.52_136.33,3
309.52_94.87,3
309.84_115.13,3
309.89_528.09,1
310.1_100.21,3
310.1_140.27,1
310.15_540.04,1
310.24_541.63,1
310.45_489.77,1
310.5_122.61,3
310.59_118.32,3
310.59_132.12,3
310.65_531.97,1
310.69_547.32,1
310.75_509.59,1
310.85_125.41,3
310.85_535.8,1
311.1_501.25,1
311.24_141.47,3
311.25_139.2,3
311.26_546.2,1
311.36_537.78,1
311.4_128.59,3
311.54_485.6,1
311.57_108.26,3
311.58_546.36,1
311.63_88.56,5
311.73_524.33,1
311.78_551,1
311.84_531.77,1
311.88_533.32,1
312_527.12,1
312.03_123.34,3
312.03_550.68,1
312.11_493.9,1
312.13_491.76,1
312.13_550.99,1
312.18_122.02,3
312.24_496.93,1
312.29_494.14,1
312.37_100.51,3
312.38_546.16,1
312.67_550.93,1
312.71_131.76,3
312.77_546.2,1
312.79_138.43,3
312.79_552.98,1
312.96_546.22,1
313_544.02,1
313.07_546.48,1
313.07_547.9,1
313.09_520.3,1
313.1_530.72,1
313.18_102.68,3
313.21_546.57,1
313.22_141.95,3
313.25_119.29,3
313.3_114.73,3
313.35_514.09,1
313.35_550.65,1
313.44_130.84,3
313.53_550.44,1
313.57_113.35,3
313.58_136.3,3
313.64_98.1,3
313.67_525.65,1
313.74_129.9,3
313.86_128.32,3
313.95_123.2,3
314_107.57,3
314_503.1,1
314.01_115.28,3
314.09_92.82,3
314.12_507.58,1
314.29_538.99,1
314.47_479.83,1
314.54_484.42,1
314.59_88.82,3
314.61_99.33,3
314.81_139.22,3
314.83_131.48,3
314.86_535.09,1
314.89_142.9,2
314.91_542.5,1
315.01_129.7,2
315.02_554.96,1
315.2_122.62,3
315.32_126.09,3
315.39_524.14,1
315.39_545.92,1
315.41_549.95,1
315.46_101.49,3
315.57_124.52,3
315.57_141.06,3
315.6_102.9,3
315.8_129.01,3
315.83_124.1,2
315.9_529.3,1
315.92_125.22,3
316_126.7,3
316.06_141.01,3
316.23_488.45,1
316.32_134,1
316.42_99.52,3
316.48_144.02,3
316.63_119.83,3
316.68_113.23,3
316.71_92.27,5
316.81_480.58,1
316.92_524.62,1
317.03_521.32,1
317.22_532.22,1
317.24_105.75,3
317.24_140.34,3
317.32_142.22,3
317.36_130.34,3
317.42_125.09,3
317.57_95.76,3
317.62_538.38,1
317.65_123.2,3
317.69_470.33,1
317.71_144.35,3
317.74_137.49,3
317.81_483.78,1
317.81_535.77,1
317.83_488.27,1
317.87_139.9,3
317.88_525.38,1
317.99_540.94,1
318.31_141.12,3
318.33_91.76,3
318.43_131.97,3
318.52_387.99,1
318.62_89.46,3
318.65_503.24,1
318.72_508.16,1
318.74_545.35,1
318.78_128.4,3
319.04_542.54,1
319.06_559.01,1
319.12_102.51,3
319.12_126.46,3
319.13_131.05,3
319.13_515.97,1
319.18_135.38,3
319.21_533.83,1
319.23_96.54,3
319.23_99.28,3
319.24_547.66,1
319.26_129.77,3
319.45_93.55,3
319.48_130.04,3
319.62_113.78,3
319.63_119.5,3
319.69_500.75,1
319.71_528.86,1
319.71_96.71,5
319.73_468.29,1
319.81_140.02,3
319.83_131.57,2
319.85_281.51,2
319.85_93.07,5
319.86_549.59,1
319.87_550.99,1
319.88_121.9,3
319.99_464.51,3
320.01_124.37,3
320.07_553.78,1
320.2_284.59,2
320.2_496.58,1
320.23_129.55,3
320.24_552.57,1
320.37_471.45,1
320.37_487.82,1
320.49_538.26,1
320.54_138.4,3
320.57_102.94,3
320.61_108.43,3
320.83_96.99,5
320.94_126.98,3
321.19_129.3,3
321.22_119.15,3
321.26_138.71,5
321.33_143.98,3
321.34_98.76,3
321.53_388.35,1
321.63_136.24,3
321.66_534.83,1
321.68_561.12,1
321.73_140.34,3
321.74_537.36,1
321.78_526.32,1
321.79_124.6,3
321.79_476.87,1
321.8_522.81,1
321.87_386.38,1
321.98_518.29,1
322.05_89.82,3
322.08_389.21,5
322.19_138.48,3
322.24_123.9,3
322.29_141.79,2
322.3_547.32,1
322.37_483.99,1
322.4_543.74,1
322.61_388.47,1
322.7_125.31,3
322.73_132.44,3
322.75_539.38,1
322.78_388.42,1
322.89_387.69,1
322.92_555.38,1
322.96_489.74,1
323.01_126.66,2
323.02_94.43,5
323.05_469.34,1
323.11_114.47,3
323.11_473.32,1
323.13_558.66,1
323.15_124.24,3
323.15_481.15,1
323.16_385.03,1
323.16_542.87,1
323.18_141.07,3
323.24_463.77,3
323.25_386.16,1
323.29_141.68,2
323.32_386.54,5
323.36_390.12,1
323.46_103.35,3
323.48_142.35,3
323.5_283.08,2
323.51_496.03,1
323.53_118.91,3
323.54_327.16,2
323.58_531.07,1
323.59_141.92,3
323.61_135.18,3
323.64_141.04,3
323.71_332.16,1
323.73_330.23,1
323.77_328.92,1
323.79_127.79,3
323.8_536,1
323.84_323.67,1
323.87_547.58,1
323.9_143.5,3
323.9_551.97,1
323.93_128.97,3
323.97_483.93,1
323.99_542.45,1
324.13_297.28,2
324.17_142.15,3
324.27_388.56,1
324.28_100.12,3
324.28_109.45,3
324.28_386.46,1
324.28_486.34,1
324.29_123.47,2
324.3_120.53,3
324.3_91.08,3
324.31_298.61,5
324.35_277.95,2
324.35_475.97,1
324.39_470.92,1
324.43_384.02,1
324.44_556.06,1
324.46_120.74,3
324.54_137.64,3
324.56_473.25,1
324.57_389.5,1
324.59_550.06,1
324.61_489.43,1
324.62_522.99,1
324.65_284.81,1
324.67_120.99,5
324.67_463.89,1
324.76_469.21,1
324.82_121.89,5
324.83_519.23,1
324.83_546.92,1
324.84_136.38,3
324.86_293.65,1
324.86_97.24,3
325_325.76,1
325.08_142.3,3
325.15_143.32,3
325.16_549.94,1
325.19_241.15,2
325.29_472.21,1
325.33_295.39,1
325.34_143.1,3
325.35_385.56,1
325.37_115.99,3
325.42_127.68,3
325.43_281.34,2
325.43_288.58,1
325.43_485.42,1
325.44_139.57,3
325.51_296.67,2
325.52_252.88,2
325.54_384.39,1
325.61_387.2,1
325.65_540.43,1
325.69_117.71,3
325.73_549.52,1
325.77_249.44,2
325.8_383.6,6
325.8_513.17,1
325.81_134.34,3
325.87_547.57,1
325.88_559.53,1
325.91_384.79,1
325.93_478.25,1
325.95_557.28,1
325.96_298.63,2
326_120.78,3
326_470.82,1
326.01_287.13,2
326.01_473.89,1
326.02_382,1
326.04_552.93,1
326.04_556.21,1
326.11_299.83,2
326.12_491.77,1
326.14_390.41,1
326.28_548,1
326.29_122.36,3
326.44_538.76,1
326.46_114.6,3
326.47_107.74,3
326.49_133.51,3
326.49_526.23,1
326.53_329.2,1
326.6_244.58,2
326.6_487.6,1
326.64_325.62,1
326.7_124.06,3
326.73_383.55,1
326.74_301.58,2
326.75_534.94,1
326.76_485.45,1
326.79_555.39,1
326.82_98.59,3
326.83_386.01,1
326.83_523.08,1
326.88_336.69,1
326.88_542.78,1
326.91_388.42,1
327.01_136.16,3
327.02_145.52,2
327.02_296.76,2
327.09_474.94,1
327.21_225.39,1
327.25_332.49,1
327.33_103.82,3
327.36_247.6,2
327.36_481.11,1
327.37_117.2,3
327.41_281.61,2
327.42_130.24,3
327.45_483.9,1
327.46_259.32,2
327.48_110.31,3
327.48_380.56,1
327.5_485.38,1
327.54_278.62,2
327.55_471.41,1
327.62_144.92,5
327.64_494.38,1
327.68_285.12,2
327.7_335.74,1
327.72_320.99,2
327.76_553.83,1
327.81_126.76,3
327.9_235.53,2
327.93_384.58,1
327.96_324.41,2
327.96_539.24,1
327.97_387.02,1
328.01_529.53,1
328.01_550.75,1
328.01_94.71,3
328.08_489.71,1
328.1_91.41,3
328.16_382.8,1
328.17_302.89,2
328.19_300.4,2
328.29_276.67,2
328.29_379.38,1
328.3_486.34,1
328.31_123.41,3
328.31_321.78,1
328.33_326.65,1
328.34_141.76,3
328.34_544.29,1
328.36_139.19,3
328.39_390.25,1
328.48_287.07,2
328.5_385.78,1
328.51_121.15,3
328.52_256.07,2
328.57_118.45,3
328.61_146.83,3
328.66_107.97,3
328.79_323.04,1
328.79_387.85,1
328.81_480.56,1
328.83_297.71,1
328.85_524.24,1
328.9_505.58,1
328.91_392.49,1
328.91_484.71,1
328.94_329.62,1
329_558.29,1
329.01_282.73,2
329.01_477.65,1
329.03_259.81,2
329.06_143.07,3
329.08_499.18,1
329.13_148.36,5
329.26_136.4,3
329.26_231.29,2
329.28_261.52,2
329.28_524.21,1
329.29_285.07,1
329.29_485.84,1
329.35_408.21,1
329.35_90.55,3
329.41_92.71,3
329.44_127.87,3
329.45_116.9,3
329.45_246.8,2
329.5_327.69,2
329.51_304.7,1
329.52_378.33,1
329.52_539.9,1
329.57_334.53,1
329.59_307.29,1
329.59_483.2,1
329.67_111.92,3
329.72_474.97,1
329.76_139.63,3
329.78_302.02,1
329.82_555.4,1
329.86_132.03,3
329.92_387.55,1
329.97_157.26,3
329.99_321.05,1
330.02_288.66,2
330.03_556.13,1
330.06_552.66,1
330.13_130.24,3
330.15_98.64,3
330.17_386.05,1
330.2_310.26,2
330.21_119.02,3
330.21_382.6,1
330.29_153.59,3
330.29_236.41,2
330.29_550.47,1
330.3_324.01,1
330.35_280.4,2
330.36_120.47,3
330.4_104.5,5
